timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710432836260,335,Create New Hero,200,OK,Thread Group 1-386,text,true,,235,230,1000,1000,http://localhost:3001/character,335,0,0
1710432836261,336,Create New Hero,200,OK,Thread Group 1-254,text,true,,235,230,1000,1000,http://localhost:3001/character,336,0,0
1710432836261,336,Create New Hero,200,OK,Thread Group 1-87,text,true,,235,230,1000,1000,http://localhost:3001/character,336,0,0
1710432836261,337,Create New Hero,200,OK,Thread Group 1-385,text,true,,235,230,1000,1000,http://localhost:3001/character,337,0,0
1710432836262,338,Create New Hero,200,OK,Thread Group 1-16,text,true,,235,231,1000,1000,http://localhost:3001/character,338,0,0
1710432836263,337,Create New Hero,200,OK,Thread Group 1-398,text,true,,235,231,1000,1000,http://localhost:3001/character,337,0,0
1710432836266,335,Create New Hero,200,OK,Thread Group 1-393,text,true,,235,230,1000,1000,http://localhost:3001/character,335,0,0
1710432836267,336,Create New Hero,200,OK,Thread Group 1-17,text,true,,235,230,1000,1000,http://localhost:3001/character,336,0,0
1710432836266,339,Get Hero by ID,200,OK,Thread Group 1-100,text,true,,192,129,1000,1000,http://localhost:3001/character/id,339,0,0
1710432836267,340,Create New Hero,200,OK,Thread Group 1-373,text,true,,235,230,1000,1000,http://localhost:3001/character,340,0,0
1710432836267,341,Create New Hero,200,OK,Thread Group 1-357,text,true,,235,231,1000,1000,http://localhost:3001/character,341,0,0
1710432836269,341,Create New Hero,200,OK,Thread Group 1-143,text,true,,235,230,1000,1000,http://localhost:3001/character,341,0,0
1710432836271,340,Create New Hero,200,OK,Thread Group 1-61,text,true,,235,230,1000,1000,http://localhost:3001/character,340,0,0
1710432836273,339,Create New Hero,200,OK,Thread Group 1-121,text,true,,235,230,1000,1000,http://localhost:3001/character,339,0,0
1710432836276,337,Create New Hero,200,OK,Thread Group 1-425,text,true,,235,230,1000,1000,http://localhost:3001/character,337,0,0
1710432836276,338,Create New Hero,200,OK,Thread Group 1-18,text,true,,235,231,1000,1000,http://localhost:3001/character,338,0,0
1710432836276,340,Create New Hero,200,OK,Thread Group 1-46,text,true,,235,230,1000,1000,http://localhost:3001/character,340,0,0
1710432836280,337,Create New Hero,200,OK,Thread Group 1-341,text,true,,235,230,1000,1000,http://localhost:3001/character,337,0,0
1710432836280,339,Create New Hero,200,OK,Thread Group 1-19,text,true,,235,231,1000,1000,http://localhost:3001/character,339,0,0
1710432836281,338,Create New Hero,200,OK,Thread Group 1-414,text,true,,235,230,1000,1000,http://localhost:3001/character,338,0,0
1710432836280,339,Create New Hero,200,OK,Thread Group 1-65,text,true,,235,230,1000,1000,http://localhost:3001/character,339,0,0
1710432836281,339,Create New Hero,200,OK,Thread Group 1-250,text,true,,235,230,1000,1000,http://localhost:3001/character,339,0,0
1710432836282,344,Create New Hero,200,OK,Thread Group 1-101,text,true,,235,230,1000,1000,http://localhost:3001/character,344,0,0
1710432836283,343,Create New Hero,200,OK,Thread Group 1-157,text,true,,235,230,1000,1000,http://localhost:3001/character,343,0,0
1710432836283,343,Create New Hero,200,OK,Thread Group 1-394,text,true,,235,230,1000,1000,http://localhost:3001/character,343,0,0
1710432836285,341,Create New Hero,200,OK,Thread Group 1-377,text,true,,235,231,1000,1000,http://localhost:3001/character,341,0,0
1710432836285,341,Create New Hero,200,OK,Thread Group 1-74,text,true,,235,231,1000,1000,http://localhost:3001/character,341,0,0
1710432836286,342,Create New Hero,200,OK,Thread Group 1-235,text,true,,235,230,1000,1000,http://localhost:3001/character,342,0,0
1710432836288,342,Get Hero by ID,200,OK,Thread Group 1-147,text,true,,192,129,1000,1000,http://localhost:3001/character/id,342,0,0
1710432836290,341,Get Hero by ID,200,OK,Thread Group 1-103,text,true,,192,129,1000,1000,http://localhost:3001/character/id,341,0,0
1710432836292,341,Create New Hero,200,OK,Thread Group 1-216,text,true,,235,231,1000,1000,http://localhost:3001/character,341,0,0
1710432836293,342,Create New Hero,200,OK,Thread Group 1-390,text,true,,235,230,1000,1000,http://localhost:3001/character,342,0,0
1710432836295,342,Create New Hero,200,OK,Thread Group 1-378,text,true,,235,230,1000,1000,http://localhost:3001/character,342,0,0
1710432836295,345,Create New Hero,200,OK,Thread Group 1-49,text,true,,235,230,1000,1000,http://localhost:3001/character,345,0,0
1710432836295,345,Create New Hero,200,OK,Thread Group 1-277,text,true,,235,230,1000,1000,http://localhost:3001/character,345,0,0
1710432836297,343,Create New Hero,200,OK,Thread Group 1-362,text,true,,235,231,1000,1000,http://localhost:3001/character,343,0,0
1710432836298,342,Create New Hero,200,OK,Thread Group 1-361,text,true,,235,230,1000,1000,http://localhost:3001/character,342,0,0
1710432836300,342,Create New Hero,200,OK,Thread Group 1-365,text,true,,235,230,1000,1000,http://localhost:3001/character,342,0,0
1710432836298,344,Create New Hero,200,OK,Thread Group 1-220,text,true,,235,230,1000,1000,http://localhost:3001/character,344,0,0
1710432836303,342,Create New Hero,200,OK,Thread Group 1-413,text,true,,235,230,1000,1000,http://localhost:3001/character,342,0,0
1710432836305,342,Create New Hero,200,OK,Thread Group 1-382,text,true,,235,230,1000,1000,http://localhost:3001/character,342,0,0
1710432836307,341,Create New Hero,200,OK,Thread Group 1-418,text,true,,235,230,1000,1000,http://localhost:3001/character,341,0,0
1710432836309,344,Create New Hero,200,OK,Thread Group 1-244,text,true,,235,230,1000,1000,http://localhost:3001/character,344,0,0
1710432836307,346,Create New Hero,200,OK,Thread Group 1-410,text,true,,235,230,1000,1000,http://localhost:3001/character,346,0,0
1710432836310,344,Get Hero by ID,200,OK,Thread Group 1-165,text,true,,192,129,1000,1000,http://localhost:3001/character/id,344,0,0
1710432836312,342,Get Hero by ID,200,OK,Thread Group 1-158,text,true,,192,129,1000,1000,http://localhost:3001/character/id,342,0,0
1710432836313,342,Get Hero by ID,200,OK,Thread Group 1-161,text,true,,192,129,1000,1000,http://localhost:3001/character/id,342,0,0
